0.21846E-04,0.26988E-04,0.60464E-02,-0.62006E-02,-0.56204E-02,0.55940E-02,-0.94038E-05,0.57787E-05
0.61735E-04,0.27061E-04,0.59318E-02,-0.61752E-02,-0.56497E-02,0.55766E-02,0.69491E-06,0.24021E-04
0.10773E-03,0.70983E-05,0.58132E-02,-0.60918E-02,-0.57054E-02,0.55779E-02,0.31148E-04,0.34442E-04
0.14553E-03,-0.23401E-04,0.57227E-02,-0.59866E-02,-0.57665E-02,0.56022E-02,0.67952E-04,0.28974E-04
0.17523E-03,-0.57524E-04,0.56552E-02,-0.58778E-02,-0.58242E-02,0.56425E-02,0.10356E-03,0.11770E-04
0.20826E-03,-0.10862E-03,0.55833E-02,-0.57230E-02,-0.58994E-02,0.57198E-02,0.14942E-03,-0.27014E-04
0.23310E-03,-0.16118E-03,0.55311E-02,-0.55699E-02,-0.59639E-02,0.58165E-02,0.18788E-03,-0.77996E-04
0.25152E-03,-0.21263E-03,0.54928E-02,-0.54238E-02,-0.60150E-02,0.59249E-02,0.21715E-03,-0.13576E-03
0.26665E-03,-0.26791E-03,0.54606E-02,-0.52697E-02,-0.60552E-02,0.60537E-02,0.23845E-03,-0.20378E-03
0.27640E-03,-0.31514E-03,0.54385E-02,-0.51397E-02,-0.60724E-02,0.61695E-02,0.24526E-03,-0.26335E-03
0.28297E-03,-0.36131E-03,0.54213E-02,-0.50121E-02,-0.44789E-02,0.46583E-02,-0.66203E-03,0.53454E-03
0.28922E-03,-0.40779E-03,0.54031E-02,-0.48880E-02,-0.29930E-02,0.33237E-02,-0.14857E-02,0.11898E-02
0.29467E-03,-0.43831E-03,0.53884E-02,-0.48112E-02,-0.30405E-02,0.34819E-02,-0.14520E-02,0.10844E-02
0.30150E-03,-0.47123E-03,0.53712E-02,-0.47319E-02,-0.30968E-02,0.36366E-02,-0.14128E-02,0.98122E-03
0.31099E-03,-0.50995E-03,0.53496E-02,-0.46445E-02,-0.31682E-02,0.37967E-02,-0.13641E-02,0.87356E-03
0.31962E-03,-0.54006E-03,0.53325E-02,-0.45822E-02,-0.32253E-02,0.39067E-02,-0.13256E-02,0.79846E-03
0.32613E-03,-0.56001E-03,0.53217E-02,-0.45451E-02,-0.32623E-02,0.39715E-02,-0.13008E-02,0.75316E-03
0.33087E-03,-0.57306E-03,0.53150E-02,-0.45238E-02,-0.32850E-02,0.40090E-02,-0.12858E-02,0.72609E-03
0.33415E-03,-0.58129E-03,0.53113E-02,-0.45123E-02,-0.32979E-02,0.40299E-02,-0.12772E-02,0.71040E-03
0.33719E-03,-0.58822E-03,0.53086E-02,-0.45045E-02,-0.33073E-02,0.40446E-02,-0.12711E-02,0.69860E-03
0.33999E-03,-0.59391E-03,0.53070E-02,-0.45003E-02,-0.33131E-02,0.40535E-02,-0.12674E-02,0.69046E-03
0.34254E-03,-0.59837E-03,0.53064E-02,-0.44997E-02,-0.33152E-02,0.40568E-02,-0.12663E-02,0.68591E-03
0.34485E-03,-0.60163E-03,0.53069E-02,-0.45028E-02,-0.33137E-02,0.40545E-02,-0.12678E-02,0.68499E-03
0.34690E-03,-0.60367E-03,0.53084E-02,-0.45095E-02,-0.33086E-02,0.40464E-02,-0.12719E-02,0.68774E-03
0.34927E-03,-0.60446E-03,0.53120E-02,-0.45245E-02,-0.32958E-02,0.40256E-02,-0.12821E-02,0.69788E-03
0.35165E-03,-0.60222E-03,0.53192E-02,-0.45535E-02,-0.32697E-02,0.39816E-02,-0.13028E-02,0.72237E-03
0.35368E-03,-0.59435E-03,0.53319E-02,-0.46057E-02,-0.32229E-02,0.38954E-02,-0.13420E-02,0.77436E-03
0.35492E-03,-0.57972E-03,0.53490E-02,-0.46826E-02,-0.31578E-02,0.37556E-02,-0.14029E-02,0.86457E-03
0.35534E-03,-0.56492E-03,0.53632E-02,-0.47540E-02,-0.31033E-02,0.36136E-02,-0.14640E-02,0.96342E-03
0.35545E-03,-0.54994E-03,0.53755E-02,-0.48244E-02,-0.30558E-02,0.34606E-02,-0.15318E-02,0.10792E-02
0.35491E-03,-0.52553E-03,0.53911E-02,-0.49391E-02,-0.48802E-02,0.51016E-02,-0.13170E-02,0.88071E-03
0.35391E-03,-0.50163E-03,0.54055E-02,-0.50564E-02,-0.66833E-02,0.67501E-02,-0.49877E-03,0.10800E-03
0.35354E-03,-0.47819E-03,0.54233E-02,-0.51752E-02,-0.66114E-02,0.65387E-02,-0.38621E-03,0.90152E-04
0.35319E-03,-0.45164E-03,0.54486E-02,-0.53153E-02,-0.65185E-02,0.63312E-02,-0.31259E-03,0.10886E-03
0.35270E-03,-0.42743E-03,0.54787E-02,-0.54477E-02,-0.64229E-02,0.61678E-02,-0.27224E-03,0.14216E-03
0.35161E-03,-0.40276E-03,0.55197E-02,-0.55862E-02,-0.63153E-02,0.60293E-02,-0.25005E-03,0.18398E-03
0.34933E-03,-0.37810E-03,0.55768E-02,-0.57264E-02,-0.61990E-02,0.59239E-02,-0.24363E-03,0.22844E-03
0.34648E-03,-0.36038E-03,0.56310E-02,-0.58255E-02,-0.61124E-02,0.58694E-02,-0.24706E-03,0.25996E-03
0.34167E-03,-0.34223E-03,0.57048E-02,-0.59225E-02,-0.60232E-02,0.58382E-02,-0.25864E-03,0.28976E-03
0.33365E-03,-0.32517E-03,0.58036E-02,-0.60017E-02,-0.59437E-02,0.58389E-02,-0.27856E-03,0.31254E-03
